Operator Company	Exchange	Project Ownership	Project Name	Commodities	Resource	Stage	Project Country	Project State Or Province	Longitude	Latitude	Mineral District	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Verified Project Area Ha	Article Link	Contact/CEO	Aggregate Deal Value ($)	Interest Acquired %	Acquisition Details	Option Period (y)	Aggregate deal value ($)	Sum of Cash Payments ($)	Exploration commitments ($)	Cash + Shares ($)	Calculated Cash + Share value column ($)	Share Value ($)	sum of Cash + Calculated Share value ($)	Calculated Share Value ($)	Number of Shares sold	Share Price ($)	NSR %	Article Date
Lode Resources Ltd	ASX:AM5	Owner: Ten Star Mining Pty Ltd  (100%) Optioner: Ten Star Mining Pty Ltd , Optionee: Lode Resources Ltd	Montezuma	Sb,Ag,Pb	1.85m @ 9.3% Sb	Advanced Exploration	Australia	Tasmania	145.1258314	-41.81367821		9560.41	16987335.225	16987335.225			Antimony & Silver Project Acquisition	Listing,Mergers & Acquisitions,Project Acquisition,Metallurgy	  9,584 	https://app.mininghub.com/article/75779	Ted Leschke, Lode Resource Ltd’s Managing Director		100%	Agreement to acquire 100% of Montezuma Antimony Project (by Lode Resources)			250000	-		1850000	1600000	3130000	2880000	16000000	0.18		22/10/2024 21:55:19
Critica Limited	ASX:ILT	Operator: Critica Limited  Owner: Critica Limited (100%)	Mount Lindsay	Sn		Advanced Exploration	Australia	Tasmania	145.320593	-41.70399329			37638280.442	37638280.442			Venture Minerals Board Update	Management Changes,AGM,Project Acquisition	  -   	https://app.mininghub.com/article/57956	Andrew Radonjic, Managing Director		19%	No direct acquisition by Venture Minerals; refers to Chalice Mining (ASX: CHN) earning further 19% (total 70%) in Venture’s South West Project.			2500000	2500000		2500000		#VALUE!	#VALUE!	-			08/10/2023 17:30:05
TinOne Resources Inc.	ASX:REE	Operator: TinOne Resources Inc.  Owner: TinOne Resources Inc. (100%)	Mount Maurice	Sn,Li		Early Stage	Australia	Tasmania	147.6250574	-41.34919829			881067	881067			TINONE ACQUIRES THE PROSPECTIVE TIN-LITHIUM MOUNT MAURICE PROJECT, TASMANIA, AUSTRALIA	Project Acquisition	  -   	https://app.mininghub.com/article/37800	Chris Donaldson, Executive Chairman						-	-		#VALUE!		#VALUE!	#VALUE!	-			11/07/2023 06:00:00
Cannindah Resources Limited	ASX:GBZ	Operator: Cannindah Resources Limited  Owner: Cannindah Resources Limited (100%) NSR: Elemental Altus Royalties Corp. (0.45%)	Mt Cannindah	Cu, Mo, Au	14.5 Mt	Advanced Exploration	Australia	Queensland	151.27896	-24.67342911		7162.73	34219757.791	34219757.791			Company Update and Due Diligence	Project Acquisition	  -   	https://app.mininghub.com/article/74016	Tom Pickett, Managing Director			No acquisition by Cannindah; Codelco to conduct due diligence on Mt Cannindah project for potential transaction.			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.033		07/10/2024 18:38:12
QMines Limited	ASX:TGN	Operator: QMines Limited  Owner: QMines Limited (100%)	Mt Chalmers	Cu	15.1Mt @ 1.3% CuEq for 195,800t CuEq	Advanced Exploration	Australia	Queensland	150.6672419	-23.31657777		42792.24	16727212.554	16727212.554			Strategic Tenement Acquisition	Project Acquisition	  -   	https://app.mininghub.com/article/71424	Andrew Sparke, QMines Executive Chairman		100%	Acquisition of 100% of EPM 29043 (Striker prospect) (by QMines' subsidiary)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.033		15/09/2024 17:02:46
Zinc Of Ireland NL	ASX:ASR	Operator: Zinc Of Ireland NL  Owner: Unknown (100%) Optioner: Unknown, Optionee: Zinc Of Ireland NL	Mt Clere	Cu,Au,Fe			Australia	Western Australia	117.55625	-25.07013877		7450.89	8505160.395	8505160.395			Earning into Drill Ready Copper-Base Metal Project in WA	Project Acquisition	  7,500 	https://app.mininghub.com/article/88297	Peter Huljich, Non-Executive Chairman			Earn-in up to 80% interest in EL 52/3979 (Mt Clere Project) (by ZMI)			50000	1250000		700000	650000	245000	195000	15000000	0.013		18/02/2025 16:28:28
Maximus Resources Limited	SWA:CA	Operator: Maximus Resources Limited  Owner: WIN Metals Ltd. (100%) Optioner: WIN Metals Ltd., Optionee: Maximus Resources Limited	Mt Edwards	Au,Ni,Cu,Co,PG3 (Pd, Pl, Pt)	127,000t @ 1.69% Ni (2,140t contained nickel metal)	Advanced Exploration	Australia	Western Australia	121.529183	-31.48069984		16323.28	8250871.395	33424752.207			Munda Agreement with Auric Mining Ltd concluded	Project Acquisition	  -   	https://app.mininghub.com/article/69359	Steve Norregaard, Managing Director and CEO			Sale of specific mineral rights (Nickel, Lithium to 150m depth on part of M15/87) and transfer of non-core tenure (by WIN Metals to Auric Mining)			1200000	-		1200000		#VALUE!	#VALUE!	-	0.175		26/08/2024 16:05:17
Benz Mining Corp.	ASX:KAI	Operator: Benz Mining Corp.  Owner: Benz Mining Corp. (100%)	Mt Egerton	Au	39.15 Mt @ 2.62 g/t Au containing 3,302.0 Koz	Advanced Exploration	Australia	Western Australia	117.6323055	-24.93664377		22687.10	2223516286.505	54322978		http://www.benzmining.com	SPR: AGREEMENT TO SELL GLENBURGH & EGERTON GOLD PROJ TO BEN	Project Acquisition	  17,959 	https://app.mininghub.com/article/77583	Evan Cranston, Benz Executive Chairman		100%	Acquisition of 100% of Glenburgh and Mt Egerton Gold Projects (by Benz from Spartan, via acquisition of subsidiaries)			670000	-	4020000	670000		13045000	12375000	33000000	0.375		03/11/2024 19:02:17
High-Tech Metals Ltd	ASX:OMX	Operator: High-Tech Metals Ltd  Owner: Rox Resources Limited (100%) Optioner: Rox Resources Limited, Optionee: High-Tech Metals Ltd	Mt Fisher	Au	3,519,200 t @ 1.65 g/t Au containing 187 koz	Advanced Exploration	Australia	Western Australia	121.4617326	-26.79796895		61511.56	191531182.815	7175542.09			Rox to sell non-core asset for $1.5 million	Project Acquisition	  19,700 	https://app.mininghub.com/article/88884	Warren Thorne, High-Tech’s CEO		100%	Acquisition of 100% of Mt Fisher Gold Project and 51% of Mt Eureka Gold Project (by High-Tech Metals from Rox Resources)			1005000	-		1155000	150000	1533000	528000	3200000	0.165	1	23/02/2025 16:32:30
Capricorn Metals Ltd	ASX:OLY	Operator: Capricorn Metals Ltd  Owner: Capricorn Metals Ltd (100%)	Mt Gibson	Au		Advanced Exploration	Australia	Western Australia	117.2742597	-29.53039081		139079.45	3356776989.09	3356776989.09			Acquisition of Mummaloo Project	Project Acquisition	  21,900 	https://app.mininghub.com/article/86083	Mark Clark, Executive Chairman		100%	Acquisition of 100% of Mummaloo Project (by Capricorn from Top Iron)			100000	-	3500000	3600000	3500000	#VALUE!	#VALUE!	-	9.38		30/01/2025 15:27:08
Antares Metals Limited	ASX:LRL	Operator: Antares Metals Limited  Owner: Antares Metals Limited (100%)	Mt Isa North	Cu,Au,U	4,440,000 tonnes @ 240 ppm U3O8 (1,080 t U3O8, 2,380,000 Lb U3O8)	Advanced Exploration	Australia	Queensland	139.4874264	-20.23713587		202115.85	4118823.192	4118823.192			NIS Acquisition Investor Presentation August 2024	Project Acquisition	  200,300 	https://app.mininghub.com/article/69633	Mark Connelly, Executive Chairman		100%	Acquisition of 100% of Mt Isa North Project (via acquisition of Capella Metals and option for Bacchus Resources tenements) (by NickelSearch)			-	-		#VALUE!		#VALUE!	808888.857	115555551	0.007		27/08/2024 19:33:13
Iltani Resources Limited.	ASX:AUG	Operator: Iltani Resources Limited.  Owner: Iltani Resources Limited. (100%)	Mt Lyell	Cu	71.3Mt @ 1.03% Cu	Early Stage	Australia	Tasmania	145.5964694	-42.06487356		1979.83	9760882.12	9760882.12			ILT granted copper exploration licence adjacent to Mt Lyell	Project Acquisition	  -   	https://app.mininghub.com/article/71284	Donald Garner, Managing Director		100%	Grant of 100% of EL6/2024 (to Iltani Resources)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.225		12/09/2024 17:50:46
RareX Limited	ASX:HAV	Operator: RareX Limited  Owner: RareX Limited (100%)	Mt Mansbridge	REE	11.7Mt at 0.77% TREO (with DyTb contributing to 10% of the TREO)	Early Stage	Australia	Western Australia	128.519081	-19.13309969		34614.04	12813533.376	12813533.376			Mt Mansbridge Tenements Granted and New Tenement Acquired	Project Acquisition	  -   	https://app.mininghub.com/article/90741	James Durrant, Managing Director		100%	Acquisition of 100% of E80/6118 (new tenement pegged) (by RareX)			-	200000		#VALUE!		#VALUE!	#VALUE!	-	0.017		11/03/2025 17:59:48
GBM Resources Limited	CSE:SEEM	Operator: GBM Resources Limited  Owner: GBM Resources Limited (100%) Optioner: GBM Resources Limited, Optionee: Lithium Energy Limited	Mt Morgan (Capricorn)	Au,Cu	45,655,000 t @ 1.26 g/t Au containing 1,844,200 oz Au	Early Stage	Australia	Queensland	150.3831653	-23.65531831		97294.70	8197489.846	8197489.846			Mt Morgan Au-Cu Project Sale - Definitive Agreement Executed	Project Acquisition	  100,551 	https://app.mininghub.com/article/90938	Peter Rohner, GBM Managing Director and CEO		100%	Sale of 100% of Mt Morgan Gold Copper Project Tenements (by GBM to Lithium Energy)			5525290	4000000		5525290		#VALUE!	#VALUE!	-		1.33	12/03/2025 17:43:25
Tungsten Mining NL	ASX:WC1	Operator: Tungsten Mining NL  Owner: Tungsten Mining NL (100%)	Mt Mulgine	W,Mo		Advanced Exploration	Australia	Western Australia	116.9785161	-29.18807208		3151.63	79962915.525	79962915.525			Settlement to Acquire Mt Mulgine Project Assets Completed	Project Acquisition	  -   	https://app.mininghub.com/article/82141	Gary Lyons, Tungsten Mining’s Chairman		100%	Acquisition of 100% of assets comprising Mt Mulgine Project (by Tungsten Mining from Minjar)			3300000	-		3300000		#VALUE!	#VALUE!	-	0.074		16/12/2024 21:27:37
Asra Minerals Limited	ASX:DEV	Owner: Asra Minerals Limited (100%)	Mt Stirling	Au, REE	3,437,000 Tonnes @ 1.82 g/t Au (200,064 Ounces)	Advanced Exploration	Australia	Western Australia	121.069273	-28.72699442		16141.55	4746253.658	4746253.658			Completion of $3M Tarmoola Pastoral Lease Sale	Financing,Project Acquisition	  -   	https://app.mininghub.com/article/84220	Paul Stephen, Asra Minerals Chief Executive Officer		100%	Sale of 100% of Tarmoola Pastoral Lease (by Asra Minerals to Vault Minerals)			3000000	-		3000000		#VALUE!	#VALUE!	-	0.002		15/01/2025 15:16:24
Sarama Resources Ltd.	ASX:SRR	Operator: Orbminco Limited  Owner: Orbminco Limited (20%) Owner: Sarama Resources Ltd. (80%) Optioner: Orbminco Limited, Optionee: Sarama Resources Ltd.	Mt Venn	Ni,Cu,Co,Pt,Pd		Advanced Exploration	Australia	Western Australia	123.3965086	-27.87804335		51227.86	10438134	2166590.082	https://www.saramaresources.com		Sarama Resources Advances Mt Venn Gold Project Acquisition	Project Acquisition	  42,000 	https://app.mininghub.com/article/89470	Andrew Dinning, President, Executive Chairman		80%	Acquisition of 80% interest in Mt Venn Project (by Sarama from Orbminco)			39390	-		39390		#VALUE!	#VALUE!	-		2	27/02/2025 07:30:00
Kairos Minerals Limited	TSXV:KCC	Operator: Kairos Minerals Limited  Owner: Kairos Minerals Limited (100%)	Mt York	Au	49.24 Mt @ 1.02 g/t Au for 1,618 kozs	Advanced Exploration	Australia	Western Australia	118.9185569	-21.11630021		1026.43	44725507.213	44725507.213			Completion of PLS Sale Agreement and First $10M Payment	Project Acquisition	  -   	https://app.mininghub.com/article/70353	Dr Peter Turner, Kairos Managing Director		100%	Agreement to sell 100% of six prospecting licences and overlying mining lease application M45/1307 (by Kairos to Pilbara Minerals)			10000000	-	20000000	20000000	10000000	#VALUE!	#VALUE!	-	0.028		04/09/2024 16:41:25
Orange Minerals NL	ASX:LDR	Operator: Orange Minerals NL  Owner: Orange Minerals NL (100%)	Mulga Rock	U	115 Mt @ 420 ppm for 104.8 Mlb	Early Stage	Australia	Western Australia	123.7954013	-29.88596397		123436.05	3110863.7	3110863.7			Mulga Rock Tenements Granted	Project Acquisition	  -   	https://app.mininghub.com/article/82394	Chris Michael		100%	of five granted tenements (E28/3449, E28/3450, E39/2479, E39/2481, E39/2482) at Mulga Rock Project (to Orange Minerals)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.057		18/12/2024 15:15:18
Labyrinth Resources Limited	ASX:WYX	Operator: Labyrinth Resources Limited  Owner: Labyrinth Resources Limited (100%)	Mulwarrie	Au	in excess of 250,000 ounces Au @ 1.40 g/t Au	Early Stage	Australia	Western Australia	120.5614322	-29.97594785		8468.82	5620939				OLY: Olympio Completes Mulwarrie Divestment	Project Acquisition	  -   	https://app.mininghub.com/article/80799	Sean Delaney, Managing Director		100%	Completion of sale of 100% of Mulwarrie Project to Labyrinth (by Olympio)		1375000	150000	-				#VALUE!	#VALUE!	-			03/12/2024 15:15:57
Augustus Minerals Limited	ASX:GR8	Operator: Augustus Minerals Limited  Owner: Music Well Gold Mines Pty Ltd (100%) Optioner: Music Well Gold Mines Pty Ltd, Optionee: Augustus Minerals Limited	Music Well	Au	0.133 Mt @ 1.4 g/t Au containing 6,000 oz Au	Advanced Exploration	Australia	Western Australia	121.332223	-28.33636798		144788.33	3814125.728	3814125.728			Augustus Acquires Gold Exploration Project Near Leonora	Project Acquisition	  134,500 	https://app.mininghub.com/article/77705	Andrew Ford, GM Exploration		100%	Acquisition of 100% of Music Well Gold Mines Pty Ltd (by Augustus Minerals)			275000	-		275000		#VALUE!	#VALUE!	-	0.029		04/11/2024 16:18:24
Havilah Resources Limited	ASX:TMG	Operator: Havilah Resources Limited  Owner: Havilah Resources Limited (100%)	Mutooroo	Cu,Co	13,127,000 tonnes, containing 195,000 tonnes Cu	Advanced Exploration	Australia	South Australia	140.8008045	-32.17872219		210069.03	61066133.28	61066133.28			Mutooroo Agreement With JX Advanced Metals	Project Acquisition	  2,300 	https://app.mininghub.com/article/68609	Dr Chris Giles, Havilah’s Technical Director		100%	MOU for JXAM to potentially acquire an interest in Mutooroo Project (Havilah 100%) - no % defined for acquisition yet			3000000	3000000		3000000		#VALUE!	#VALUE!	-	0.165		18/08/2024 16:21:15
Serra Energy Metals Corp.	ASX:MM8	Operator: Serra Energy Metals Corp.  Owner: Serra Energy Metals Corp. (100%) Optioner: Serra Energy Metals Corp., Optionee: Advance Metals Limited	Myrtleford	Au	3,742,000 tonnes @ 0.13 g/t Au, containing 15,500 oz Au	Early Stage	Australia	Victoria	146.7835842	-36.48699968		39645.94	7491219.19	944112		https://www.e79resources.com	Transformational gold & silver acquisitions in Vic & Mexico	Project Acquisition	  41,800 	https://app.mininghub.com/article/83255	Craig Stranger, Non-Executive Chair		80%	Acquisition of 80% interest in Myrtleford and Beaufort Gold Projects (by Advance from Serra); Acquisition of 100% interest in Gavilanes Silver Project (by Advance from Sailfish)			6000000	-	8010000	8010000	2010000	#VALUE!	#VALUE!	-		1	05/01/2025 16:30:58
West Cobar Metals Limited	ASX:GR8	Operator: West Cobar Metals Limited  Owner: IGO Limited (100%) Optioner: IGO Limited, Optionee: West Cobar Metals Limited	Mystique	Au		Early Stage	Australia	Western Australia	123.8027778	-31.51805556		3510.56	2329034.994	2329034.994			Strategic WA Gold Exploration Acquisition	Project Acquisition	  23,500 	https://app.mininghub.com/article/90071	Matt Szwedzicki, West Cobar Metals’ Managing Director		100%	Acquisition of 100% of Mt Mystique Project tenement E28/2513 (by West Cobar from IGO); Potential acquisition of 70% of Thunderstorm Project tenements (E28/2528, E28/2529, E28/2595) (by West Cobar from IGO, subject to JV pre-emption)			-	-		#VALUE!	970000	#VALUE!	150000	10000000	0.015	1.5	04/03/2025 17:07:48
DevEx Resources Limited	ASX:CDT	Operator: DevEx Resources Limited  Owner: DevEx Resources Limited (100%)	Nabarlek	U	32.9Mlbs @ 1.09% U3O8	Advanced Exploration	Australia	Northern Territory	133.3418437	-12.18681216		75575.24	32685109.654	32685109.654			High-Priority Uranium Tenements Granted North of Nabarlek	Project Acquisition	  -   	https://app.mininghub.com/article/87478	Todd Ross, Managing Director		100%	of granted tenements EL29897 and EL25384 (Nabarlek Project) (to DevEx)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.099		11/02/2025 15:18:52
Solstice Minerals Limited	ASX:M4M	Operator: Solstice Minerals Limited  Owner: Solstice Minerals Limited (100%)	Nanadie Well	Cu	40,400,000 Tonnes @ 0.4% Cu (162,000 t contained Cu)	Advanced Exploration	Australia	Western Australia	118.9994184	-27.15484464		13118.51	16552907.2	16552907.2			Solstice Secures Strategic Copper Exposure	Project Acquisition	  13,000 	https://app.mininghub.com/article/86843	Nick Castleden, CEO & Managing Director		100%	Completion of 100% acquisition of Nanadie Copper-Gold Project (by Solstice from Cyprium)			1000000	-		1000000		2140000	1140000	6000000	0.19	0.735	04/02/2025 16:29:18
Kincora Copper Limited	ASX:HRE	Operator: Kincora Copper Limited  Owner: Kincora Copper Limited (100%)	Nevertire South	Cu,Au		Early Stage	Australia	New South Wales	147.4938621	-31.88068879		97336.45	7113789	7113789	https://www.kincoracopper.com	https://www.kincoracopper.com	Kincora Secures New Strategic Ground	Project Acquisition	  96,200 	https://app.mininghub.com/article/70633	Sam Spring, President and CEO of Kincora		100%	Award of 100% of three new licenses (Nyngan West, Nyngan South, Nevertire South) (to Kincora)			33500000	25000000		33500000		#VALUE!	#VALUE!	-	0.035		08/09/2024 16:19:05
Lode Resources Ltd	LVX:CA	Operator: Lode Resources Ltd  Owner: Lode Resources Ltd (100%)	New England	Sb		Early Stage	Australia	New South Wales	152.0635481	-30.31090082		110219.72	16987335.225	16987335.225			Lode Secures Strategic Antimony Prospects	Project Acquisition	  -   	https://app.mininghub.com/article/69225	Ted Leschke, Lode Resource Ltd’s Managing Director		100%	Grant of 100% of EL9662 (to Lode Resources)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.18		25/08/2024 16:11:07
Peregrine Gold Ltd	ASX:RIM	Operator: Peregrine Gold Ltd  Owner: Peregrine Gold Ltd (100%)	Newman	Au	2.252moz Au	Advanced Exploration	Australia	Western Australia	119.7188831	-23.53616297		160864.96	15892794	15892794			Agreement with Mark Creasy over Peninsula Prospect - Amended	Project Acquisition	  -   	https://app.mininghub.com/article/92572	George Merhi, Technical Director		60%	Agreement for Mark Creasy to exploit precious metals on 3 SPLs applied for over Peregrine's E52/3850 (Peninsula Prospect), Peregrine receives 60% of net proceeds.			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.135		25/03/2025 20:36:50
Western Yilgarn NL	ASX:DTM	Operator: Western Yilgarn NL  Owner: Western Yilgarn NL (100%)	Norcia	Bauxite (Al2O3),Ga	168,337,931 t @ 36.1% Total Al2O3	Early Stage	Australia	Western Australia	116.05	-30.87628205		7656.96	4596369.955	4596369.955			WYX Secures Prospective Gallium-Bauxite Project in WA	Project Acquisition	  -   	https://app.mininghub.com/article/92417	Mr Kastellorizos, Western Yilgarn Director		100%	Application for 100% of E70/6705 (Norcia Gallium-Bauxite Project) (by Western Yilgarn)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.027		25/03/2025 16:16:34
Great Dirt Resources Ltd	ASX:M2R	Operator: Great Dirt Resources Ltd  Owner: Great Dirt Resources Ltd (100%)	Nullagine	Mn		Early Stage	Australia	Western Australia	120.6634804	-21.03872571		21738.03	3815663.67	3815663.67			Pilbara Exploration License Granted	Project Acquisition	  -   	https://app.mininghub.com/article/87347	Marty Helean, Managing Director		100%	of granted exploration licence E45/6949 (Nullagine Project) (to Great Dirt)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.115		10/02/2025 16:00:01
Trigg Minerals Limited	ASX:BNR	Operator: Trigg Minerals Limited  Owner: Stanford Rocks Pty Ltd. (100%) Optioner: Stanford Rocks Pty Ltd., Optionee: Trigg Minerals Limited	Nundle	Sb	1.52Mt @ 1.97% Sb (29,902t Sb)	Early Stage	Australia	New South Wales	151.1378968	-31.40019838		24604.36	25868357.06	25868357.06			TMG EXPANDS ANTIMONY-GOLD TENURE UP TO 61% Sb, 1045 g/t Au	Project Acquisition	  103,970 	https://app.mininghub.com/article/91764	Timothy Morrison, Trigg Minerals Executive Chair		100%	Acquisition of 100% of Nundle, Upper Hunter, Cobark/Copeland projects (EL 9594, EL 9655, EL 9653) (by Trigg from Stanford Rocks)			167500	-	335000	335000	167500	#VALUE!	#VALUE!	-	0.066	2	18/03/2025 17:49:12
Kincora Copper Limited	CPER:CA	Operator: Kincora Copper Limited  Owner: Kincora Copper Limited (100%)	Nyngan West	Cu,Au	>160Moz gold equivalent	Early Stage	Australia	New South Wales	147.1930556	-31.13125001		21148.36	7113789	7113789	https://www.kincoracopper.com	https://www.kincoracopper.com	Kincora Secures New Strategic Ground On Australia's Premier Porphyry Copper-Gold Province	Project Acquisition	  -   	https://app.mininghub.com/article/70648	Sam Spring, President and CEO of Kincora						-	-		#VALUE!		#VALUE!	#VALUE!	-			09/09/2024 03:30:00
Greenvale Energy Ltd	ASX:GRV	Operator: Greenvale Energy Ltd  Owner: Maverick Exploration Pty (100%) Optioner: Maverick Exploration Pty, Optionee: Greenvale Energy Ltd	Oasis	U		Early Stage	Australia	Queensland	144.4849171	-18.82096079		17176.21	24121173.824	24121173.824			Greenvale Acquires Advanced High Grade Oasis Uranium Project	Project Acquisition	  9,000 	https://app.mininghub.com/article/83759	Mark Turner, Greenvale CEO		100%	Acquisition of 100% interest in EPM 27565 (Oasis Uranium Project) (by Greenvale from Maverick/Remlain/Mineral Intelligence)			200000	-		200000		1000000	800000	20000000	0.04		12/01/2025 15:43:34
Litchfield Minerals Limited	GPAC:CA	Operator: Litchfield Minerals Limited  Owner: Litchfield Minerals Limited (100%)	Oonagalabi	Cu,Zn,Au	23.8Mt @ 0.25 g/t Au	Early Stage	Australia	Northern Territory	134.8713768	-23.12826091		14496.38	4372758.63	4372758.63			Litchfield Secures Strategic Copper-Gold Portfolio in NT	Project Acquisition	  100,000 	https://app.mininghub.com/article/73997	Matthew Pustahya, Managing Director and CEO		100%	Acquisition of 100% of Kalk Exploration Pty Ltd (holding Oonagalabi, Paradise Well, Silver Valley projects) (by Litchfield from Comet Resources)			134000	-		134000		#VALUE!	#VALUE!	-			07/10/2024 16:40:27
Terra Uranium Limited	ASX:T92	Operator: LCT Metals Pty Ltd  Owner: LCT Metals Pty Ltd (100%) Optioner: LCT Metals Pty Ltd, Optionee: Terra Uranium Limited	Ottery	Sn	2.7kt @ 2% Sn	Early Stage	Australia	New South Wales	151.6562682	-29.38853264		4784.14	2870041.251				New High-grade NSW Tin, Silver & Gold projects and Placement	Project Acquisition	  -   	https://app.mininghub.com/article/91829	Andrew J. Vigar, Executive Chairman		100%	Acquisition of 100% of Ottery Tin Mine, Castle Rag Silver, Mole River Silver/Tin projects (via acquisition of LCT Metals) (by Terra Uranium)			40000	-		40000		123111.096	83111.096	2444444	0.034		18/03/2025 20:57:28
Australian Rare Earths Limited	ASX:AR3	Operator: Australian Rare Earths Limited  Owner: Australian Rare Earths Limited (100%)	Overland	U		Early Stage	Australia	South Australia	139.7987627	-33.59304358		298142.43	11447260.344	11447260.344			AR3 expands Overland Uranium Project with Strategic Farm-In	Project Acquisition	  -   	https://app.mininghub.com/article/79168	Travis Beinke, AR3 Managing Director and Chief Executive		100%	Right to acquire 100% of sedimentary-hosted uranium rights of EL6678 (Overland Uranium Project) (by AR3 from Sheer Gold)			-	200000		#VALUE!		#VALUE!	#VALUE!	-			18/11/2024 16:34:10
Medallion Metals Limited	ASX:THB	Operator: Medallion Metals Limited  Owner: Medallion Metals Limited (100%)	Parker Dome	Au	1.3Moz Au	Early Stage	Australia	Western Australia	119.8072528	-31.7984146		32481.14	95097573.4	95097573.4			Forrestania Growth Strategy Commences	Project Acquisition	  -   	https://app.mininghub.com/article/82396	Paul Bennett, Managing Director		100%	of new mining tenement applications (Parker Dome Project) (by Medallion)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.265		18/12/2024 15:16:48
Adavale Resources Limited	ASX:AGE	Operator: Adavale Resources Limited  Owner: Adavale Resources Limited (72.5%) Owner: Agricultural Equity Investments Pty Ltd (27.5%)	Parkes	Au	3.70Mt @ 1.04 g/t Au for 124k oz Au	Early Stage	Australia	New South Wales	148.1963711	-32.99516126		35700.90	4574558.444	4574558.444			Completion of Placement, Parkes Acquisition and Site Visit	Exploration update,Financing,Project Acquisition	  35,415 	https://app.mininghub.com/article/85355	Mr Allan Ritchie, Adavale Resources Executive Chairman and CEO		73%	Completion of acquisition of 72.5% interest in Parkes Gold-Copper Project (by Adavale)			-	-		#VALUE!	1149999	#VALUE!	0	383333333		2.5	27/01/2025 16:23:39
Golden State Mining Limited	ASX:TVN	Operator: Golden State Mining Limited  Owner: Golden State Mining Limited (100%)	Paynes Find	Li		Early Stage	Australia	Western Australia	117.7358708	-29.15692786		125190.08	2234965.04	2234965.04			Gold Exploration Update	Exploration update,Project Acquisition	  -   	https://app.mininghub.com/article/74299	Michael Moore, Managing Director						-	-		#VALUE!		#VALUE!	#VALUE!	-			09/10/2024 16:23:20
Ausmon Resources Limited	ASX:GBR	Operator: Ausmon Resources Limited  Owner: Ausmon Resources Limited (100%)	Peake	REE	236Mt @ 748 ppm Total Rare Earth Oxides (TREO)	Early Stage	Australia	South Australia	139.9408458	-35.33590127		75108.62	1311213.424	1311213.424			New tenement granted for rare earth exploration EL 7015, SA	Project Acquisition	  75,700 	https://app.mininghub.com/article/73629	Eric Sam Yue, Executive Director/Secretary		100%	of granted tenement EL 7015 Peake (to Ausmon)			-	-		#VALUE!		#VALUE!	#VALUE!	-			02/10/2024 16:58:18
Strata Minerals Limited	OZ:CA	Operator: Strata Minerals Limited  Owner: Strata Minerals Limited (100%)	Penny South	Au	440,000t @ 22g/t Au (320,000oz Au)	Early Stage	Australia	Western Australia	118.8171594	-28.86913703		993.56	5370935.482	5370935.482			Acquisition of Penny South Gold Project, WA	Project Acquisition	  995 	https://app.mininghub.com/article/69814	Peter Woods, Managing Director		100%	Acquisition of 100% of Penny South Gold Project (E57/1045) (by NickelX from Aurum)			40000	-	100000	100000	60000	100000	60000	3000000	0.02		29/08/2024 17:14:02
Great Dirt Resources Ltd	CPER:CA	Operator: Great Dirt Resources Ltd  Owner: Great Dirt Resources Ltd (100%)	Pilbara	Li		Early Stage	Australia	Western Australia	119.0988095	-20.67103189		6729.19	3815663.67	3815663.67			New Tenure Granted directly adjacent to Wildcat and Sayona	Project Acquisition	  6,750 	https://app.mininghub.com/article/64862	Marty Helean, Managing Director		100%	of granted tenement E45/6863 (to Great Dirt)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.115		11/07/2024 17:12:12
Kalgoorlie Gold Mining Limited	ASX:BML	Operator: Kalgoorlie Gold Mining Limited  Owner: Kalgoorlie Gold Mining Limited (100%)	Pinjin	Au	3.61 Mt @ 1.19 g/t Au for 138,000 oz	Advanced Exploration	Australia	Western Australia	122.6629487	-30.07377877		35179.21	18992416.6	18992416.6			Tenement Sale - Yarri Project	Project Acquisition	  7,000 	https://app.mininghub.com/article/81134	Matt Painter, KalGold Managing Director		100%	of granted Exploration Licence E31/1347 (Pinjin) (to KalGold)			-	-		#VALUE!	70000	#VALUE!	#VALUE!	-		1	05/12/2024 16:31:06
RareX Limited	ASX:CC9	Operator: RareX Limited  Owner: Unknown (100%) Optioner: Unknown, Optionee: RareX Limited	Piper	REE,Nb,Phosphate	56Mt at 2.6% TREO	Early Stage	Australia	Northern Territory	132.0055967	-21.78112853		4805.81	12813533.376	12813533.376			Amended RareX gains access to bulls eye magnetic anomaly	Project Acquisition	  28,400 	https://app.mininghub.com/article/73585	James Durrant, Managing Director		80%	Earn-in to acquire 80% interest in Piper Project (EL33675, EL33674) (by RareX from True Fella)			-	150000		#VALUE!		#VALUE!	#VALUE!	-		1	01/10/2024 19:08:33
